id,Player,BR_player_id,From,To,Pos,Ht,Wt,Birth Date,College,active,shoots,draft_team,pick_order,draft_year_type
1794,Robert Horry,horryro01,1993,2008,F,6-9,220,"August 25, 1970",University of Alabama,0,Right,Houston Rockets,"1st round (11th pick,11th overall)",1992 NBA Draft
1795,Ed Horton,hortoed01,1990,1990,F,6-8,230,"December 17, 1967",University of Iowa,0,Right,Washington Bullets,"2nd round (12th pick,39th overall)",1989 NBA Draft
1796,Bill Hosket,hoskebi01,1969,1972,F-C,6-8,225,"December 20, 1946",Ohio State University,0,Right,New York Knicks,"1st round (10th pick,10th overall)",1968 NBA Draft
1797,Bob Houbregs*,houbrbo01,1954,1958,C-F,6-7,210,"March 12, 1932",University of Washington,0,Right,Milwaukee Hawks,"1st round (2nd pick,2nd overall)",1953 NBA Draft
1798,Danuel House,houseda01,2017,2017,G,6-7,207,"June 7, 1993",Texas A&M University,1,Right,,,
1799,Eddie House,houseed01,2001,2011,G,6-1,180,"May 14, 1978",Arizona State University,0,Right,Miami Heat,"2nd round (8th pick,37th overall)",2000 NBA Draft
1800,Allan Houston,houstal01,1994,2005,G,6-6,200,"April 20, 1971",University of Tennessee,0,Right,Detroit Pistons,"1st round (11th pick,11th overall)",1993 NBA Draft
1801,Byron Houston,houstby01,1993,1996,F,6-5,250,"November 22, 1969",Oklahoma State University,0,Right,Chicago Bulls,"1st round (27th pick,27th overall)",1992 NBA Draft
1802,Tom Hovasse,hovasto01,1995,1995,F,6-8,205,"January 31, 1967",Pennsylvania State University,0,Right,,,
1803,Brian Howard,howarbr01,1992,1993,F,6-6,204,"October 19, 1967",North Carolina State University,0,Right,,,
1804,Dwight Howard,howardw01,2005,2017,C,6-11,265,"December 8, 1985",,1,Right,Orlando Magic,"1st round (1st pick,1st overall)",2004 NBA Draft
1805,Greg Howard,howargr01,1971,1972,F-C,6-9,215,"January 8, 1948",University of New Mexico,0,Right,Phoenix Suns,"1st round (10th pick,10th overall)",1970 NBA Draft
1806,Josh Howard,howarjo01,2004,2013,F-G,6-7,210,"April 28, 1980",Wake Forest University,0,Right,Dallas Mavericks,"1st round (29th pick,29th overall)",2003 NBA Draft
1807,Juwan Howard,howarju01,1995,2013,F,6-9,240,"February 7, 1973",University of Michigan,0,Right,Washington Bullets,"1st round (5th pick,5th overall)",1994 NBA Draft
1808,Mo Howard,howarmo01,1977,1977,G,6-2,170,"August 25, 1954",University of Maryland,0,Right,Cleveland Cavaliers,"2nd round (15th pick,32nd overall)",1976 NBA Draft
1809,Otis Howard,howarot01,1979,1979,F,6-7,220,"November 5, 1956",Austin Peay State University,0,Right,Milwaukee Bucks,"4th round (14th pick,80th overall)",1978 NBA Draft
1810,Stephen Howard,howarst01,1993,1998,F,6-9,225,"July 15, 1970",DePaul University,0,Left,,,
1811,Bailey Howell*,howelba01,1960,1971,F,6-7,210,"January 20, 1937",Mississippi State University,0,Right,Detroit Pistons,"1st round (2nd pick,2nd overall)",1959 NBA Draft
1812,Bob Hubbard,hubbabo01,1948,1949,C-F,6-6,215,"December 27, 1922",Springfield College,0,Right,Providence Steam Rollers,,
1813,Phil Hubbard,hubbaph01,1980,1989,F-C,6-8,215,"December 13, 1956",University of Michigan,0,Right,Detroit Pistons,"1st round (15th pick,15th overall)",1979 NBA Draft
1814,Lester Hudson,hudsole01,2010,2015,G,6-3,190,"August 7, 1984",University of Tennessee at Martin,0,Right,Boston Celtics,"2nd round (28th pick,58th overall)",2009 NBA Draft
1815,Lou Hudson,hudsolo01,1967,1979,F-G,6-5,210,"July 11, 1944",University of Minnesota,0,Right,St. Louis Hawks,"1st round (4th pick,4th overall)",1966 NBA Draft
1816,Troy Hudson,hudsotr01,1998,2008,G,6-1,170,"March 13, 1976",Southern Illinois University,0,Right,,,
1817,Marcelo Huertas,huertma01,2016,2017,G,6-3,200,"May 25, 1983",,1,Right,,,
1818,Josh Huestis,huestjo01,2016,2017,F,6-7,230,"December 19, 1991",Stanford University,1,Right,Oklahoma City Thunder,"1st round (29th pick,29th overall)",2014 NBA Draft
1819,Nate Huffman,huffmna01,2003,2003,C,7-1,245,"April 2, 1975",Central Michigan University,0,Right,,,
1820,Alfredrick Hughes,hugheri01,1986,1986,F-G,6-5,215,"July 19, 1962",Loyola University of Chicago,0,Right,San Antonio Spurs,"1st round (14th pick,14th overall)",1985 NBA Draft
1821,Eddie Hughes,hugheed01,1988,1990,G,5-10,165,"May 26, 1960",Colorado State University,0,Right,San Diego Clippers,"7th round (2nd pick,140th overall)",1982 NBA Draft
1822,Kim Hughes,hugheki01,1976,1981,C,6-11,220,"June 4, 1952",University of Wisconsin,0,Left,Buffalo Braves,"3rd round (9th pick,45th overall)",1974 NBA Draft
1823,Larry Hughes,hughela01,1999,2012,G,6-5,184,"January 23, 1979",Saint Louis University,0,Right,Philadelphia 76ers,"1st round (8th pick,8th overall)",1998 NBA Draft
1824,Rick Hughes,hugheri02,2000,2000,F,6-9,235,"August 22, 1973",Thomas More College,0,Right,,,
1825,Robbie Hummel,hummero01,2014,2015,F,6-8,215,"March 8, 1989",Purdue University,0,Right,Minnesota Timberwolves,"2nd round (28th pick,58th overall)",2012 NBA Draft
1826,John Hummer,hummejo01,1971,1976,F-C,6-9,230,"May 4, 1948",Princeton University,0,Right,Buffalo Braves,"1st round (15th pick,15th overall)",1970 NBA Draft
1827,Ryan Humphrey,humphry01,2003,2005,F,6-8,235,"July 24, 1979",University of Notre Dame,0,Right,Utah Jazz,"1st round (19th pick,19th overall)",2002 NBA Draft
1828,Jay Humphries,humphja01,1985,1995,G,6-3,185,"October 17, 1962",University of Colorado,0,Right,Phoenix Suns,"1st round (13th pick,13th overall)",1984 NBA Draft
1829,Kris Humphries,humphkr01,2005,2017,F-C,6-9,235,"February 6, 1985",University of Minnesota,1,Right,Utah Jazz,"1st round (14th pick,14th overall)",2004 NBA Draft
1830,Hot Rod Hundley,hundlho01,1958,1963,G,6-4,185,"October 26, 1934",West Virginia University,0,Right,Cincinnati Royals,"1st round (1st pick,1st overall)",1957 NBA Draft
1831,Brandon Hunter,huntebr01,2004,2005,F,6-7,260,"November 24, 1980",Ohio University,0,Right,Boston Celtics,"2nd round (27th pick,56th overall)",2003 NBA Draft
1832,Cedric Hunter,huntece01,1992,1992,G,6-0,180,"January 16, 1965",University of Kansas,0,Right,,,
1833,Chris Hunter,huntech01,2010,2010,F,6-11,240,"July 7, 1984",University of Michigan,0,Right,,,
1834,Les Hunter,huntele01,1965,1973,F-C,6-7,210,"August 16, 1942",Loyola University of Chicago,0,Right,Detroit Pistons,"2nd round (2nd pick,9th overall)",1964 NBA Draft
1835,Lindsey Hunter,hunteli01,1994,2010,G,6-2,170,"December 3, 1970",Jackson State University,0,Right,Detroit Pistons,"1st round (10th pick,10th overall)",1993 NBA Draft
1836,Othello Hunter,hunteot01,2009,2010,F,6-8,225,"May 28, 1986",Ohio State University,0,Right,,,
1837,R.J. Hunter,hunterj01,2016,2017,G,6-5,185,"October 24, 1993",Georgia State University,1,Right,Boston Celtics,"1st round (28th pick,28th overall)",2015 NBA Draft
1838,Steven Hunter,huntest01,2002,2010,C,7-0,220,"October 31, 1981",DePaul University,0,Right,Orlando Magic,"1st round (15th pick,15th overall)",2001 NBA Draft
1839,Bobby Hurley,hurlebo01,1994,1998,G,6-0,165,"June 28, 1971",Duke University,0,Right,Sacramento Kings,"1st round (7th pick,7th overall)",1993 NBA Draft
1840,Roy Hurley,hurlero01,1947,1947,F-G,6-2,170,"August 12, 1922",Murray State University,0,Right,,,
1841,Geoff Huston,hustoge01,1980,1987,G,6-2,175,"November 8, 1957",Texas Tech University,0,Right,New York Knicks,"3rd round (6th pick,50th overall)",1979 NBA Draft
1842,Paul Huston,hustopa01,1948,1948,F,6-3,175,"June 2, 1925",Ohio State University,0,Right,Chicago Stags,"1st round (8th pick,8th overall)",1947 BAA Draft
1843,Mel Hutchins,hutchme01,1952,1958,F-C,6-6,200,"November 22, 1928",Brigham Young University,0,Right,Tri-Cities Blackhawks,"1st round (2nd pick,2nd overall)",1951 NBA Draft
1844,Joe Hutton,huttojo01,1951,1952,G,6-1,170,"October 6, 1928",Hamline University,0,Right,Minneapolis Lakers,7th round,1950 NBA Draft
1845,Greg Hyder,hydergr01,1971,1971,F,6-6,215,"June 21, 1948",Eastern New Mexico University,0,Right,Cincinnati Royals,"3rd round (5th pick,39th overall)",1970 NBA Draft
1846,Marc Iavaroni,iavarma01,1983,1989,F,6-8,210,"September 15, 1956",University of Virginia,0,Right,New York Knicks,"3rd round (11th pick,55th overall)",1978 NBA Draft
1847,Serge Ibaka,ibakase01,2010,2017,F-C,6-10,235,"September 18, 1989",,1,Right,Seattle SuperSonics,"1st round (24th pick,24th overall)",2008 NBA Draft
1848,Andre Iguodala,iguodan01,2005,2017,G-F,6-6,215,"January 28, 1984",University of Arizona,1,Right,Philadelphia 76ers,"1st round (9th pick,9th overall)",2004 NBA Draft
1849,Zydrunas Ilgauskas,ilgauzy01,1998,2011,C,7-3,238,"June 5, 1975",,0,Right,Cleveland Cavaliers,"1st round (20th pick,20th overall)",1996 NBA Draft
1850,Mile Ilic,ilicmi01,2007,2007,C,7-1,230,"June 2, 1984",,0,Right,New Jersey Nets,"2nd round (13th pick,43rd overall)",2005 NBA Draft
1851,Didier Ilunga-Mbenga,mbengdj01,2005,2011,C,7-0,245,"December 30, 1980",,0,Right,,,
1852,Ersan Ilyasova,ilyaser01,2007,2017,F,6-10,235,"May 15, 1987",,1,Right,Milwaukee Bucks,"2nd round (6th pick,36th overall)",2005 NBA Draft
1853,Darrall Imhoff,imhofda01,1961,1972,C,6-10,220,"October 11, 1938",University of California,0,Left,New York Knicks,"1st round (3rd pick,3rd overall)",1960 NBA Draft
1854,Tom Ingelsby,ingelto01,1974,1976,G,6-3,180,"February 12, 1951",Villanova University,0,Right,Atlanta Hawks,"2nd round (9th pick,27th overall)",1973 NBA Draft
1855,Joe Ingles,inglejo01,2015,2017,F-G,6-8,226,"October 2, 1987",,1,Left,,,
1856,Damien Inglis,inglida01,2016,2016,F,6-8,246,"May 20, 1995",,0,Right,Milwaukee Bucks,"2nd round (1st pick,31st overall)",2014 NBA Draft
1857,Brandon Ingram,ingrabr01,2017,2017,F,6-9,190,"September 2, 1997",Duke University,1,Right,Los Angeles Lakers,"1st round (2nd pick,2nd overall)",2016 NBA Draft
1858,McCoy Ingram,ingramc01,1958,1958,F,6-8,210,"August 31, 1931",Jackson State University,0,Right,,,
1859,Ervin Inniger,inniger01,1968,1969,G,6-4,190,"January 16, 1945",Indiana University,0,Right,,,
1860,Byron Irvin,irvinby01,1990,1993,G,6-5,190,"December 2, 1966",University of Missouri,0,Right,Portland Trail Blazers,"1st round (22nd pick,22nd overall)",1989 NBA Draft
1861,George Irvine,irvinge01,1971,1976,F-G,6-6,200,"February 1, 1948",University of Washington,0,Right,Seattle SuperSonics,"8th round (6th pick,125th overall)",1970 NBA Draft
1862,Kyrie Irving,irvinky01,2012,2017,G,6-3,193,"March 23, 1992",Duke University,1,Right,Cleveland Cavaliers,"1st round (1st pick,1st overall)",2011 NBA Draft
1863,Dan Issel*,isselda01,1971,1985,C-F,6-9,235,"October 25, 1948",University of Kentucky,0,Right,Detroit Pistons,"8th round (3rd pick,122nd overall)",1970 NBA Draft
1864,Mike Iuzzolino,iuzzomi01,1992,1993,G,5-10,175,"January 22, 1968",Saint Francis University,0,Right,Dallas Mavericks,"2nd round (8th pick,35th overall)",1991 NBA Draft
1865,Allen Iverson*,iversal01,1997,2010,G,6-0,165,"June 7, 1975",Georgetown University,0,Right,Philadelphia 76ers,"1st round (1st pick,1st overall)",1996 NBA Draft
1866,Willie Iverson,iverswi01,1969,1969,G,6-0,180,"October 8, 1945",Central Michigan University,0,Right,,,
1867,Royal Ivey,iveyro01,2005,2014,G,6-3,200,"December 20, 1981",University of Texas at Austin,0,Right,Atlanta Hawks,"2nd round (8th pick,37th overall)",2004 NBA Draft
1868,Elvin Ivory,ivoryel01,1969,1969,F,6-8,210,"July 2, 1948",University of Louisiana at Lafayette,0,Right,,,
1869,Warren Jabali,jabalwa01,1969,1975,G-F,6-2,200,"August 29, 1946",Wichita State University,0,Right,New York Knicks,"4th round (8th pick,44th overall)",1968 NBA Draft
1870,Jarrett Jack,jackja01,2006,2017,G,6-3,200,"October 28, 1983",Georgia Institute of Technology,1,Right,Denver Nuggets,"1st round (22nd pick,22nd overall)",2005 NBA Draft
1871,Al Jackson,jacksal01,1968,1968,G,6-1,185,"July 29, 1943",Wilberforce University,0,Right,,,
1872,Bobby Jackson,jacksbo01,1998,2009,G,6-1,185,"March 13, 1973",University of Minnesota,0,Right,Seattle SuperSonics,"1st round (23rd pick,23rd overall)",1997 NBA Draft
1873,Cedric Jackson,jacksce01,2010,2010,G,6-3,191,"March 5, 1986",Cleveland State University,0,Right,,,
1874,Darnell Jackson,jacksda01,2009,2011,F,6-9,253,"November 7, 1985",University of Kansas,0,Right,Miami Heat,"2nd round (22nd pick,52nd overall)",2008 NBA Draft
1875,Demetrius Jackson,jacksde01,2017,2017,G,6-1,201,"September 7, 1994",University of Notre Dame,1,Right,Boston Celtics,"2nd round (15th pick,45th overall)",2016 NBA Draft
1876,Greg Jackson,jacksgr01,1975,1975,G,6-0,180,"August 2, 1952",Guilford College,0,Right,New York Knicks,"5th round (14th pick,86th overall)",1974 NBA Draft
1877,Jaren Jackson,jacksja01,1990,2002,G-F,6-4,190,"October 27, 1967",Georgetown University,0,Right,,,
1878,Jermaine Jackson,jacksje01,2000,2006,G,6-4,204,"June 7, 1976",University of Detroit Mercy,0,Right,,,
1879,Jim Jackson,jacksji01,1993,2006,G,6-6,220,"October 14, 1970",Ohio State University,0,Right,Dallas Mavericks,"1st round (4th pick,4th overall)",1992 NBA Draft
1880,Luke Jackson,jackslu01,1965,1972,F-C,6-9,240,"October 31, 1941",University of Texas-Pan American,0,Right,Philadelphia 76ers,"1st round (4th pick,4th overall)",1964 NBA Draft
1881,Luke Jackson,jackslu02,2005,2008,F,6-7,215,"November 6, 1981",University of Oregon,0,Left,Cleveland Cavaliers,"1st round (10th pick,10th overall)",2004 NBA Draft
1882,Marc Jackson,jacksma02,2001,2007,C,6-10,270,"January 16, 1975",Temple University,0,Right,Golden State Warriors,"2nd round (9th pick,37th overall)",1997 NBA Draft
1883,Mark Jackson,jacksma01,1988,2004,G,6-1,180,"April 1, 1965",St. John's University,0,Right,New York Knicks,"1st round (18th pick,18th overall)",1987 NBA Draft
1884,Mervin Jackson,jacksme01,1969,1973,G,6-3,175,"August 15, 1946",University of Utah,0,Right,Phoenix Suns,"9th round (14th pick,120th overall)",1968 NBA Draft
1885,Michael Jackson,jacksmi02,1988,1990,G,6-2,183,"July 13, 1964",Georgetown University,0,Right,New York Knicks,"2nd round (23rd pick,47th overall)",1986 NBA Draft
1886,Mike Jackson,jacksmi01,1973,1976,F,6-7,215,"July 31, 1949","California State University, Los Angeles",0,Right,Houston Rockets,"7th round (7th pick,104th overall)",1972 NBA Draft
1887,Myron Jackson,jacksmy01,1987,1987,G,6-3,185,"May 6, 1964",University of Arkansas at Little Rock,0,Right,Dallas Mavericks,"4th round (15th pick,85th overall)",1986 NBA Draft
1888,Phil Jackson*,jacksph01,1968,1980,F-C,6-8,220,"September 17, 1945",University of North Dakota,0,Left,New York Knicks,"2nd round (5th pick,17th overall)",1967 NBA Draft
1889,Pierre Jackson,jackspi01,2017,2017,G,5-10,180,"August 29, 1991",Baylor University,1,Right,Philadelphia 76ers,"2nd round (12th pick,42nd overall)",2013 NBA Draft
1890,Ralph Jackson,jacksra01,1985,1985,G,6-2,190,"October 26, 1962","University of California, Los Angeles",0,Right,Indiana Pacers,"4th round (1st pick,71st overall)",1984 NBA Draft
1891,Randell Jackson,jacksra02,1999,2000,F,6-11,215,"January 16, 1976",Florida State University,0,Right,,,
1892,Reggie Jackson,jacksre01,2012,2017,G,6-3,208,"April 16, 1990",Boston College,1,Right,Oklahoma City Thunder,"1st round (24th pick,24th overall)",2011 NBA Draft
1893,Stanley Jackson,jacksst01,1994,1994,G,6-3,185,"October 10, 1970",University of Alabama at Birmingham,0,Right,,,
1894,Stephen Jackson,jacksst02,2001,2014,F-G,6-8,218,"April 5, 1978",Butler County Community College,0,Right,Phoenix Suns,"2nd round (14th pick,42nd overall)",1997 NBA Draft
1895,Tony Jackson,jacksto01,1968,1969,F-G,6-4,200,"November 7, 1942",St. John's University,0,Right,New York Knicks,"3rd round (1st pick,24th overall)",1961 NBA Draft
1896,Tony Jackson,jacksto02,1981,1981,G,6-0,170,"January 17, 1958",Florida State University,0,Right,Los Angeles Lakers,"4th round (18th pick,87th overall)",1980 NBA Draft
1897,Tracy Jackson,jackstr01,1982,1984,G-F,6-6,205,"April 21, 1959",University of Notre Dame,0,Right,Boston Celtics,"2nd round (2nd pick,25th overall)",1981 NBA Draft
1898,Wardell Jackson,jackswa01,1975,1975,F,6-7,200,"July 18, 1951",Ohio State University,0,Right,Seattle SuperSonics,"6th round (8th pick,98th overall)",1974 NBA Draft
1899,Fred Jacobs,jacobfr01,1947,1947,F,6-3,175,"December 2, 1922",University of Denver,0,Right,,,
1900,Casey Jacobsen,jacobca01,2003,2008,G-F,6-6,215,"March 19, 1981",Stanford University,0,Right,Phoenix Suns,"1st round (22nd pick,22nd overall)",2002 NBA Draft
1901,Sam Jacobson,jacobsa01,1999,2001,G-F,6-4,215,"July 22, 1975",University of Minnesota,0,Right,Los Angeles Lakers,"1st round (26th pick,26th overall)",1998 NBA Draft
1902,Dave Jamerson,jamerda01,1991,1994,G-F,6-5,190,"August 13, 1967",Ohio University,0,Right,Miami Heat,"1st round (15th pick,15th overall)",1990 NBA Draft
1903,Aaron James,jamesaa01,1975,1979,F,6-8,210,"October 5, 1952",Grambling State University,0,Right,New Orleans Jazz,"2nd round (10th pick,28th overall)",1974 NBA Draft
1904,Bernard James,jamesbe01,2013,2015,C,6-10,240,"February 7, 1985",Florida State University,0,Left,Cleveland Cavaliers,"2nd round (3rd pick,33rd overall)",2012 NBA Draft
1905,Billy James,jamesbi01,1974,1974,G,6-3,185,"February 11, 1950",Marshall University,0,Right,,,
1906,Damion James,jamesda01,2011,2014,G-F,6-7,225,"October 7, 1987",University of Texas at Austin,0,Right,Atlanta Hawks,"1st round (24th pick,24th overall)",2010 NBA Draft
1907,Gene James,jamesge01,1949,1951,F,6-4,180,"February 15, 1925",Marshall University,0,Right,,,
1908,Henry James,jameshe01,1991,1998,F,6-8,220,"July 29, 1965",St. Mary's University,0,Right,,,
1909,Jerome James,jamesje01,1999,2009,C,7-0,300,"November 17, 1975",Florida Agricultural and Mechanical University,0,Right,Sacramento Kings,"2nd round (7th pick,36th overall)",1998 NBA Draft
1910,LeBron James,jamesle01,2004,2017,F-G,6-8,250,"December 30, 1984",,1,Right,Cleveland Cavaliers,"1st round (1st pick,1st overall)",2003 NBA Draft
1911,Mike James,jamesmi01,2002,2014,G,6-2,188,"June 23, 1975",Duquesne University,0,Right,,,
1912,Tim James,jamesti01,2000,2002,F,6-7,212,"December 26, 1976",University of Miami,0,Right,Miami Heat,"1st round (25th pick,25th overall)",1999 NBA Draft
1913,Antawn Jamison,jamisan01,1999,2014,F,6-8,223,"June 12, 1976",University of North Carolina,0,Right,Toronto Raptors,"1st round (4th pick,4th overall)",1998 NBA Draft
1914,Harold Jamison,jamisha01,2000,2002,F,6-8,260,"November 20, 1976",Clemson University,0,Right,,,
1915,John Janisch,janisjo01,1947,1948,F-G,6-3,200,"March 15, 1920",Valparaiso University,0,Right,,,
1916,Howie Janotta,janotho01,1950,1950,F,6-3,185,"October 19, 1924",Seton Hall University,0,Right,,,
1917,Marko Jaric,jaricma01,2003,2009,G,6-7,198,"October 12, 1978",,0,Right,Los Angeles Clippers,"2nd round (1st pick,30th overall)",2000 NBA Draft
1918,Tony Jaros,jarosto01,1947,1951,F-G,6-3,185,"February 22, 1920",University of Minnesota,0,Right,,,
1919,Jim Jarvis,jarviji01,1968,1969,G,6-1,175,"March 3, 1943",Oregon State University,0,Right,San Francisco Warriors,"6th round (1st pick,45th overall)",1965 NBA Draft
1920,Sarunas Jasikevicius,jasiksa01,2006,2007,G,6-4,195,"March 5, 1976",University of Maryland,0,Right,,,
1921,Nathan Jawai,jawaina01,2009,2010,C-F,6-10,280,"October 10, 1986",Midland College,0,Right,Indiana Pacers,"2nd round (11th pick,41st overall)",2008 NBA Draft
1922,Buddy Jeannette*,jeannbu01,1948,1950,G,5-11,175,"September 15, 1917",Washington & Jefferson College,0,Right,,,
1923,Abdul Jeelani,jeelaab01,1980,1981,F-C,6-8,210,"February 10, 1954",University of Wisconsin-Parkside,0,Right,,,
1924,Chris Jefferies,jeffech01,2003,2004,G-F,6-8,225,"February 13, 1980","California State University, Fresno",0,Right,Los Angeles Lakers,"1st round (27th pick,27th overall)",2002 NBA Draft
1925,Othyus Jeffers,jeffeot01,2010,2014,G,6-5,200,"August 5, 1985",Robert Morris University (IL),0,Right,,,
1926,Al Jefferson,jeffeal01,2005,2017,C-F,6-10,289,"January 4, 1985",,1,Right,Boston Celtics,"1st round (15th pick,15th overall)",2004 NBA Draft
1927,Cory Jefferson,jeffeco01,2015,2016,F,6-9,218,"December 26, 1990",Baylor University,0,Right,San Antonio Spurs,"2nd round (30th pick,60th overall)",2014 NBA Draft
1928,Dontell Jefferson,jeffedo01,2009,2009,G,6-5,195,"December 15, 1983",University of Arkansas,0,Right,,,
1929,Richard Jefferson,jefferi01,2002,2017,F,6-7,233,"June 21, 1980",University of Arizona,1,Right,Houston Rockets,"1st round (13th pick,13th overall)",2001 NBA Draft
1930,Jared Jeffries,jeffrja01,2003,2013,F,6-11,230,"November 25, 1981",Indiana University,0,Right,Washington Wizards,"1st round (11th pick,11th overall)",2002 NBA Draft
1931,Charles Jenkins,jenkich01,2012,2013,G,6-3,220,"February 28, 1989",Hofstra University,0,Right,Golden State Warriors,"2nd round (14th pick,44th overall)",2011 NBA Draft
1932,Horace Jenkins,jenkiho01,2005,2005,G,6-1,180,"October 14, 1974",William Paterson University,0,Right,,,
1933,John Jenkins,jenkijo01,2013,2017,G,6-4,215,"March 6, 1991",Vanderbilt University,1,Right,Atlanta Hawks,"1st round (23rd pick,23rd overall)",2012 NBA Draft
1934,Brandon Jennings,jennibr01,2010,2017,G,6-1,170,"September 23, 1989",,1,Left,Milwaukee Bucks,"1st round (10th pick,10th overall)",2009 NBA Draft
1935,Keith Jennings,jennike01,1993,1995,G,5-7,160,"November 2, 1968",East Tennessee State University,0,Right,,,
1936,Chris Jent,jentch01,1994,1997,F,6-7,220,"January 11, 1970",Ohio State University,0,Right,,,
1937,Les Jepsen,jepsele01,1991,1992,C,7-0,237,"June 24, 1967",University of Iowa,0,Right,Golden State Warriors,"2nd round (1st pick,28th overall)",1990 NBA Draft
1938,Jonas Jerebko,jerebjo01,2010,2017,F,6-10,231,"March 2, 1987",,1,Right,Detroit Pistons,"2nd round (9th pick,39th overall)",2009 NBA Draft
1939,Grant Jerrett,jerregr01,2015,2015,F,6-10,235,"July 8, 1993",University of Arizona,0,Right,Portland Trail Blazers,"2nd round (10th pick,40th overall)",2013 NBA Draft
1940,Eugene Jeter,jetereu01,2011,2011,G,5-11,175,"December 2, 1983",University of Portland,0,Right,,,
1941,Hal Jeter,jeterha01,1970,1970,G,6-3,190,"May 17, 1945",Drake University,0,Right,,,
1942,Yi Jianlian,jianlyi01,2008,2012,F,7-0,240,"October 27, 1987",,0,Right,Milwaukee Bucks,"1st round (6th pick,6th overall)",2007 NBA Draft
1943,Britton Johnsen,johnsbr01,2004,2005,F,6-10,210,"July 8, 1979",University of Utah,0,Right,,,
1944,Alexander Johnson,johnsal01,2007,2008,F,6-9,240,"February 8, 1983",Florida State University,0,Right,Indiana Pacers,"2nd round (15th pick,45th overall)",2006 NBA Draft
1945,Amir Johnson,johnsam01,2006,2017,F-C,6-9,240,"May 1, 1987",,1,Right,Detroit Pistons,"2nd round (26th pick,56th overall)",2005 NBA Draft
1946,Andy Johnson,johnsan01,1959,1962,F-G,6-5,215,"November 8, 1932",University of Portland,0,Right,,,
1947,Anthony Johnson,johnsan02,1998,2010,G,6-3,190,"October 2, 1974",College of Charleston,0,Right,Sacramento Kings,"2nd round (11th pick,39th overall)",1997 NBA Draft
1948,Armon Johnson,johnsar02,2011,2012,G,6-3,195,"February 23, 1989","University of Nevada, Reno",0,Left,Portland Trail Blazers,"2nd round (4th pick,34th overall)",2010 NBA Draft
1949,Arnie Johnson,johnsar01,1949,1953,F-C,6-5,236,"May 16, 1920",Bemidji State University,0,Right,,,
1950,Avery Johnson,johnsav01,1989,2004,G,5-10,175,"March 25, 1965",Southern University and A&M College,0,Left,,,
1951,Brice Johnson,johnsbr02,2017,2017,F,6-10,230,"June 27, 1994",University of North Carolina,1,Right,Los Angeles Clippers,"1st round (25th pick,25th overall)",2016 NBA Draft
1952,Buck Johnson,johnsbu01,1987,1993,F,6-7,190,"January 3, 1964",University of Alabama,0,Right,Houston Rockets,"1st round (20th pick,20th overall)",1986 NBA Draft
1953,Carldell Johnson,johnsca01,2012,2012,G,5-10,180,"January 28, 1983",University of Alabama at Birmingham,0,Right,,,
1954,Charles Johnson,johnsch01,1973,1979,G,6-0,170,"March 31, 1949",University of California,0,Right,Golden State Warriors,"6th round (8th pick,93rd overall)",1971 NBA Draft
1955,Cheese Johnson,johnsch02,1980,1980,F-G,6-6,195,"September 7, 1957",Wichita State University,0,Right,Golden State Warriors,"3rd round (10th pick,54th overall)",1979 NBA Draft
1956,Chris Johnson,johnsch03,2011,2013,C,6-11,210,"July 15, 1985",Louisiana State University,0,Right,,,
1957,Chris Johnson,johnsch04,2013,2016,F-G,6-6,206,"April 29, 1990",University of Dayton,0,Left,,,
1958,Clay Johnson,johnscl02,1982,1984,G,6-4,175,"July 18, 1956",University of Missouri,0,Right,Portland Trail Blazers,"5th round (22nd pick,110th overall)",1978 NBA Draft
1959,Clemon Johnson,johnscl01,1979,1988,C-F,6-10,240,"September 12, 1956",Florida Agricultural and Mechanical University,0,Right,Portland Trail Blazers,"2nd round (22nd pick,44th overall)",1978 NBA Draft
1960,Darryl Johnson,johnsda02,1996,1996,G,6-1,170,"October 26, 1965",Michigan State University,0,Right,Golden State Warriors,"3rd round (12th pick,58th overall)",1987 NBA Draft
1961,Dave Johnson,johnsda01,1993,1994,G-F,6-7,210,"November 16, 1970",Syracuse University,0,Right,Portland Trail Blazers,"1st round (26th pick,26th overall)",1992 NBA Draft
1962,DeMarco Johnson,johnsde02,2000,2000,F,6-9,245,"October 6, 1975",University of North Carolina at Charlotte,0,Right,New York Knicks,"2nd round (9th pick,38th overall)",1998 NBA Draft
1963,Dennis Johnson*,johnsde01,1977,1990,G,6-4,185,"September 18, 1954",Pepperdine University,0,Right,Seattle SuperSonics,"2nd round (12th pick,29th overall)",1976 NBA Draft
1964,DerMarr Johnson,johnsde03,2001,2008,F,6-9,201,"May 5, 1980",University of Cincinnati,0,Right,Atlanta Hawks,"1st round (6th pick,6th overall)",2000 NBA Draft
1965,Ed Johnson,johnsed01,1969,1971,C,6-8,205,"June 17, 1944",Tennessee State University,0,Right,Seattle SuperSonics,"3rd round (12th pick,34th overall)",1968 NBA Draft
1966,Eddie Johnson,johnsed02,1978,1987,G,6-2,180,"February 24, 1955",Auburn University,0,Right,Atlanta Hawks,"3rd round (5th pick,49th overall)",1977 NBA Draft
1967,Eddie Johnson,johnsed03,1982,1999,F-G,6-7,215,"May 1, 1959",University of Illinois at Urbana-Champaign,0,Right,Kansas City Kings,"2nd round (6th pick,29th overall)",1981 NBA Draft
1968,Eric Johnson,johnser01,1990,1990,G,6-2,205,"February 7, 1966",University of Nebraska,0,Right,,,
